FIPS,f15m_ndays_pctlocal,PctPopUrban,HMI,MedAge,PctWNL,PctMBSA
6047,0.733,0.857,42591,29.6,31.9,0.219
6049,0.199,0.3,36212,46.1,79,0.382
6051,0.484,0.542,61757,37.2,68.2,0.348
6053,0.713,0.902,59168,32.9,32.9,0.276
6055,0.551,0.866,70443,39.7,56.4,0.352
6057,0.731,0.579,57353,47.6,86.5,0.395
6059,0.762,0.999,75422,36.2,44.1,0.397
6061,0.686,0.862,72725,40.3,76.1,0.415
6063,0.61,0.26,45794,49.6,85,0.36
6065,0.731,0.954,56529,33.7,39.7,0.292
6067,0.839,0.979,55064,34.8,48.4,0.375
6069,0.459,0.76,66237,34.3,38.3,0.275
6071,0.705,0.953,54090,31.7,33.3,0.284
6073,0.782,0.967,62962,34.6,48.5,0.401
6075,0.891,1,75604,38.5,41.9,0.517
6077,0.679,0.915,53380,32.7,35.9,0.283
6079,0.776,0.834,58697,39.4,71.1,0.356
6081,0.874,0.981,88202,39.3,42.3,0.444
6083,0.702,0.95,62779,33.6,47.9,0.352
6085,0.883,0.989,91702,36.2,35.2,0.498
6087,0.851,0.88,66519,36.9,59.6,0.406
6089,0.576,0.707,44651,41.8,82.4,0.324
6091,0.78,0.003,39009,50.9,88.1,0.297
6093,0.601,0.342,37709,47,79.5,0.34
6095,0.748,0.963,67177,36.9,40.8,0.334
6097,0.717,0.876,63356,39.9,66.1,0.357
6099,0.762,0.92,49297,32.9,46.7,0.265
6101,0.314,0.852,50408,34.5,50.4,0.283
6103,0.567,0.485,41924,39.5,71.9,0.248
6105,0.359,0,36890,49.3,83.5,0.318
6107,0.5,0.845,42708,29.6,32.6,0.237
6109,0.453,0.51,48426,47.3,81.9,0.323
6111,0.779,0.969,76544,36.2,48.7,0.374
6113,0.796,0.931,55918,30.4,49.9,0.451
6115,0.825,0.738,44902,32.1,58.8,0.273
8001,0.674,0.964,56270,32.4,53.2,0.29
8003,0.301,0.631,34520,32.9,49.6,0.31
8005,0.818,0.984,60651,35.7,63.2,0.397
8007,0.483,0.406,48933,48.4,78.2,0.346
8009,0.563,0,38829,47.4,87.7,0.366
8011,0.295,0.62,37340,39.8,59,0.346
8013,0.863,0.911,67956,35.8,79.4,0.527
8014,0.486,0.994,77998,36.4,79.4,0.491
8015,0.614,0.626,46504,47.4,86.6,0.372
8017,0,0,51641,42.7,88.1,0.417
8019,0.501,0,67259,46.6,92.1,0.339
8021,0.656,0,34526,38.2,41.8,0.339
8023,0.518,0,29145,49,30.8,0.275
8025,0.627,0,31477,38.9,57.9,0.274
8027,0.628,0,32427,53.3,92,0.272
8029,0.368,0.368,42078,45.6,83,0.306
8031,0.707,1,50313,33.7,52.2,0.431
8033,0.397,0,37750,44.7,90.9,0.354
8035,0.632,0.897,101591,36.6,85.2,0.54
8037,0.519,0.8,74456,34,67.3,0.353
8039,0.216,0,82118,43.8,91,0.407
8041,0.611,0.911,57125,34.1,72,0.403
8043,0.287,0.736,39943,43.6,80.4,0.269
8045,0.441,0.759,57022,34.5,68.8,0.28
8047,0.454,0,63885,45.6,90.9,0.352
8049,0.456,0.174,64664,41.2,89.7,0.309
8051,0.481,0.414,52332,34.3,89.1,0.35
8053,0.568,0,56667,47.1,93.2,0.396
8055,0.573,0.439,33298,51.8,61.9,0.38
8057,0.253,0,43606,47.3,87.4,0.288
8059,0.798,0.931,68984,40.4,79.9,0.436
8061,0.171,0,40813,47.4,93.3,0.412
8063,0.109,0.513,44157,39.7,76.4,0.279
8065,0.382,0.689,44610,35,58.2,0.319
8067,0.334,0.401,58080,38.4,80.3,0.39
8069,0.68,0.883,58626,35.5,84.5,0.426
8071,0.297,0.592,42261,43.9,54.2,0.257
8073,0.038,0,41910,40.9,79.5,0.331
8075,0.058,0.708,40415,38.4,78.2,0.229
8077,0.633,0.873,49471,38.1,83.1,0.323
8079,0.426,0,47083,53.1,95.2,0.364
8081,0.658,0.726,53231,35.8,82.7,0.23
8083,0.297,0.328,43188,42.9,75.1,0.362
8085,0.372,0.55,45718,42,77.5,0.28
8087,0.121,0.675,43774,36,61.7,0.262
8089,0.87,0.656,33848,40.9,56.5,0.318
8091,0.525,0,64601,50,93.4,0.462
8093,0.54,0,61570,46.9,91.6,0.318
8095,0.684,0,43011,42.8,79.4,0.345
8097,0.677,0.558,72745,42,87.9,0.409
8099,0.08,0.621,34391,36.7,62.7,0.314
8101,0.487,0.858,41777,38.7,54.1,0.294
8103,0.14,0,60128,38,86.3,0.248
8105,0.739,0.375,38993,41,55.1,0.305
8107,0.741,0.548,62002,38.9,90.6,0.367
8109,0.293,0,34600,43.3,56.4,0.294
8111,0.434,0,39583,43.8,85.1,0.313
8113,0.629,0,63594,39.3,88.5,0.388
8115,0.028,0,40221,49.2,85.6,0.284
8117,0.644,0.805,63697,36.4,82.7,0.32
8119,0.461,0.374,59040,47,90.6,0.383
8121,0,0,44683,44.2,89.4,0.398
8123,0.669,0.795,57180,33.1,67.6,0.332
8125,0.684,0.351,44308,38.5,77.9,0.252
9001,0.757,0.954,82283,39.5,66.2,0.43
9003,0.753,0.946,64967,39.9,66.1,0.414
9005,0.679,0.586,71338,44.4,91.3,0.396
9007,0.59,0.755,76994,43.1,86.4,0.451
9009,0.711,0.964,61996,39.3,67.5,0.396
9011,0.892,0.742,66583,40.4,78.3,0.375
9013,0.743,0.618,80529,38.3,87.5,0.423
9015,0.788,0.502,59333,39.2,85.4,0.306
10001,0.789,0.73,55149,36.6,65.2,0.328
10003,0.72,0.954,64537,37.2,61.6,0.418
10005,0.72,0.587,52710,45.4,75.6,0.3
11001,0.834,1,65830,33.8,34.8,0.602
12001,0.79,0.788,42149,30.1,63.7,0.455
12003,0,0.405,49236,36,82.4,0.298
12005,0.575,0.88,47461,39.5,79.2,0.313
12007,0.652,0.245,40259,39.5,73.9,0.268
12009,0.557,0.949,48039,45.5,77.6,0.36
12011,0.766,1,51251,39.7,43.5,0.353
12013,0,0.325,32780,39.7,77.7,0.241
12015,0.44,0.911,44378,55.9,86,0.303
12017,0.68,0.655,39100,54,89.6,0.279
12019,0.925,0.85,59482,38,77.2,0.352
12021,0.623,0.915,55843,46.9,65.7,0.293
12023,0.277,0.379,38070,39.9,74.7,0.302
12027,0.175,0.538,34963,38.1,56.1,0.168
12029,0.118,0.23,33981,45.4,86.6,0.269
12031,0.869,0.971,48323,35.8,56.6,0.347
12033,0.879,0.917,43918,37.6,66.2,0.322
12035,0.73,0.897,47233,47.5,76.1,0.315
12037,0.472,0.32,38328,42.4,79.6,0.233
12039,0.733,0.346,35380,38.9,33.1,0.274
12041,0.667,0.161,38406,40.6,87.9,0.259
12043,0.364,0.294,34694,43.1,61.7,0.237
12045,0.443,0.229,40455,42.7,74.9,0.25
12047,0.051,0.365,37716,38.1,54.9,0.246
12049,0.314,0.522,37125,32.8,48,0.206
12051,0.872,0.621,35425,32.8,34.9,0.209
12053,0.777,0.806,41024,47.7,82.1,0.292
12055,0.796,0.789,35560,51.5,70.7,0.255
12057,0.754,0.965,49596,36.1,53.7,0.366
12059,0.762,0.212,35511,41.3,88.9,0.306
12061,0.974,0.95,44772,49.1,77.4,0.302
12063,0.727,0.246,36809,40.5,66.6,0.284
12065,0.082,0,44170,44.1,58.7,0.412
12067,0.941,0,39722,36.2,70.6,0.222
12069,0.644,0.807,45035,45.6,74.5,0.307
12071,0.742,0.942,47439,45.6,71,0.298
12073,0.717,0.877,46369,29.6,59.3,0.449
12075,0.697,0.08,34348,45,80.8,0.244
12077,0.686,0,39681,37,73.6,0.346
12079,0.629,0.2,33833,40.2,55,0.266
12081,0.945,0.942,47876,45.7,73.4,0.326
12083,0.656,0.69,39453,47.3,74,0.277
12085,0.728,0.915,49846,49.7,80.3,0.363
12086,0.684,0.996,43100,38.2,15.4,0.311
12087,0.36,0.913,53607,46.4,71.3,0.299
12089,0.718,0.519,55315,42.9,87.9,0.325
12091,0.619,0.879,54684,38.3,77.1,0.34
12093,0.274,0.635,34570,38.6,65.7,0.2
12095,0.732,0.98,47581,33.7,46,0.348
12097,0.607,0.922,43891,35.6,40.3,0.24
12099,0.825,0.99,52432,43.5,60.1,0.354
12101,0.917,0.905,43888,43.6,80.1,0.344
12103,0.837,0.997,45535,46.3,76.9,0.373
12105,0.723,0.865,43113,39.8,64.6,0.289
12107,0.925,0.438,32497,43.4,72.6,0.233
12109,0.521,0.762,64876,42.2,85.3,0.438
12111,0.676,0.966,43413,42.4,61.2,0.281
12113,0.876,0.79,57703,39.2,85,0.355
12115,0.665,0.957,49052,52.5,84.9,0.34
12117,0.916,0.968,58175,38.2,66.3,0.422
12119,0.509,0.65,48493,62.7,82.8,0.273
12121,0.604,0.168,35698,42.2,77.7,0.244
12123,0.369,0.307,36356,41.1,73,0.261
12125,0,0.326,42660,39.1,71.6,0.24
12127,0.688,0.901,42457,45.3,75.4,0.307
12129,0.766,0.383,52691,38.8,79.5,0.306
12131,0.774,0.369,43640,42.1,85.1,0.3
12133,0.645,0.154,38501,40.3,78.5,0.274
13001,0.7,0.286,36786,38.1,70.5,0.243
13003,0.094,0,30049,33.4,57,0.182
13005,0,0.307,33757,36.9,76,0.282
13007,0,0,27353,41.6,47.6,0.297
13009,0.856,0.649,32751,34.1,54,0.351
13011,0.763,0.062,41141,38.4,89.8,0.26
13013,0.607,0.699,53274,33.6,74.6,0.287
13015,0.568,0.648,47197,36.2,79.7,0.297
13017,0,0.66,28547,37.1,57.6,0.263
13019,0.885,0.239,32258,38,83.2,0.287
13021,0.592,0.856,37550,35.6,42.1,0.326
13023,0.459,0.484,36073,35.9,68.9,0.297
13025,0,0.006,36070,37.8,93.4,0.257
13027,0.975,0.29,34419,40.3,58,0.257
13029,0.635,0.477,64707,35.7,77.6,0.356
13031,0.804,0.517,35840,25.9,65.9,0.337
13033,0.652,0.25,31494,35.9,46.5,0.245
13035,0.69,0.221,49754,38.1,68.5,0.202
13037,0.12,0,26986,38.7,33.6,0.2
13039,0.394,0.686,51990,31.3,71.2,0.315
13043,0.2,0.33,35070,37.6,63.2,0.23
13045,0.862,0.582,46147,33.5,72.9,0.285
13047,0.62,0.719,47087,38.3,92.5,0.308
13049,0.345,0.49,40111,38.2,66.7,0.22
13051,0.516,0.955,45794,34,50.4,0.352
13053,0.949,0.705,48758,24,62.9,0.264
13055,0.107,0.424,33228,39.3,83,0.231
13057,0.371,0.829,67261,36.3,81.3,0.389
13059,0.757,0.941,33060,25.9,57.1,0.4
13061,0,0,21192,45.8,37.3,0.234
13063,0.623,0.991,40606,31.6,14.1,0.233
13065,0,0.396,30345,36.8,66.7,0.248
13067,0.856,0.998,63920,35.4,56.3,0.444
13069,0.104,0.334,35693,34.8,61.2,0.265
13071,0.212,0.411,32484,34.8,58.8,0.258
13073,0.758,0.838,69306,36.8,73.8,0.422
13075,0.046,0.406,34985,36.4,64.9,0.268
13077,0.354,0.671,60813,36.6,72.7,0.334
13079,0.569,0,41586,41.5,73.5,0.286
13081,0.034,0.53,35240,38.1,52.1,0.307
13083,0.456,0.279,43205,39,95,0.252
13085,0.515,0.197,53525,40.6,93.4,0.312
13087,0.913,0.435,30619,37.7,52.5,0.285
13089,0.803,0.997,50856,34.3,29.4,0.423
13091,0.8,0.278,37292,38.5,65.5,0.313
13093,0.133,0.463,29012,40,43.3,0.229
13095,0.282,0.86,31671,33.2,28.9,0.291
13097,0.796,0.842,52691,35,49,0.321
13099,0,0.34,28853,39.3,47.7,0.276
13101,0,0,31375,31.4,63.3,0.155
13103,0.066,0.329,63030,35.1,81,0.303
13105,0.442,0.294,35817,41.1,64.2,0.231
13107,0.556,0.331,32046,36.8,60.8,0.25
13109,0.946,0.387,36788,35.9,56.6,0.318
13111,0.507,0,34239,48.3,96.1,0.271
13113,0.683,0.818,79977,42.4,67.8,0.431
13115,0.599,0.632,40821,37.6,73.7,0.309
13117,0.468,0.901,86569,36.9,80.3,0.464
13119,0.587,0.111,34830,40.9,85.6,0.269
13121,0.842,0.989,56857,34.2,40.8,0.481
13123,0.489,0.124,39140,43.4,88.6,0.249
13125,0,0,37760,39.3,89.2,0.256
13127,0.532,0.794,46407,39.4,64.8,0.31
13129,0.277,0.484,40926,36,79.9,0.265
13131,0.895,0.376,30571,37.8,59.5,0.3
13133,0.155,0.173,42565,46.4,54.8,0.232
13135,0.808,0.995,60445,33.7,44,0.376
13137,0.482,0.412,39306,38.6,80.4,0.259
13139,0.82,0.794,50853,34.5,63.6,0.294
13141,0.915,0.384,25000,43,23.5,0.255
13143,0.111,0.226,39993,38.5,92.1,0.29
13145,0.375,0.033,69223,42,77.6,0.417
13147,0.182,0.255,35615,42.6,76.2,0.287
13149,0.314,0,39909,39.1,86.1,0.218
13151,0.526,0.861,60781,35.3,52.5,0.331
13153,0.865,0.9,54893,34.5,60.5,0.374
13155,0,0.353,40771,38.8,70.4,0.309
13157,0.161,0.4,53179,37.1,83.8,0.326
13159,0.791,0.182,42192,39,72.6,0.226
13161,0,0.305,36296,36,73.4,0.239
13163,0,0.193,26968,38.8,41.4,0.262
13165,0.643,0.339,26104,38.2,54.1,0.199
13167,0,0.346,36722,40.4,62.3,0.213
13169,0.759,0.323,51497,38.7,72.7,0.299
13171,0.079,0.391,41016,37.7,65.2,0.273
13173,0.249,0.289,39452,33.4,68.5,0.28
13175,0.361,0.434,34793,38,59.7,0.297
13177,0.068,0.638,60104,36,75.8,0.379
13179,0.732,0.768,43832,27.9,42.7,0.313
13181,0.955,0,35625,45,65,0.206
13183,0.827,0.187,42651,30.6,58.7,0.251
13185,0.932,0.728,37365,29.9,56.1,0.287
13187,0.403,0.161,43775,36.1,91.8,0.318
13189,0.545,0.39,37487,38.4,56.3,0.248
13191,0.408,0.257,39068,44.4,60.8,0.28
13193,0.079,0.468,30240,38.2,33.7,0.223
13195,0.845,0.081,42549,39.4,85.7,0.272
13197,0,0,33301,40.8,58.3,0.239
13199,0.128,0.167,37333,41,57.3,0.183
13201,0.75,0,32260,41.7,69.2,0.282
13205,0.132,0.455,32054,37.1,46.4,0.253
13207,0.261,0.198,48630,41.3,72.3,0.338
13209,0,0.013,32702,37,67.3,0.288
13211,0.123,0.246,47729,41.3,71.7,0.346
13213,0.537,0.299,34888,36.2,85,0.226
13215,0.923,0.97,41339,33.5,43.7,0.337
13217,0.491,0.688,50580,34.7,52,0.308
13219,0.39,0.497,75004,39.1,86.3,0.485
13221,0.32,0.007,45729,40.1,76.7,0.299
13223,0.661,0.799,61837,33.8,75,0.338
13225,0.503,0.618,39844,33.3,45.1,0.269
13227,0.624,0.269,51383,42.1,94.5,0.282
13229,0,0.206,39067,38.4,84.6,0.282
